epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.742,2.32724,1.84975,1.28639,0.57985,0.31034,0.4062,0.12841,2.58816,2.38808,1.34256,0.077023,2.3e-05,2.3e-05
2,434.301,2.04317,1.22569,1.17724,0.50796,0.51618,0.49023,0.14673,2.49487,1.62788,1.26096,0.0530428,4.277e-05,4.277e-05
3,643.092,1.94361,1.13656,1.16217,0.69171,0.70117,0.73664,0.29602,2.0185,1.09351,1.13707,0.0290582,5.822e-05,5.822e-05
4,856.028,1.92923,1.04344,1.15522,0.57545,0.56034,0.56987,0.19999,2.27583,1.23408,1.23621,0.00506935,6.935e-05,6.935e-05
5,1063.61,1.78648,0.94216,1.10282,0.73926,0.73935,0.78789,0.33881,2.05788,1.00581,1.17481,6.4e-05,6.4e-05,6.4e-05
6,1273.25,1.73931,0.94086,1.10412,0.76278,0.72845,0.81164,0.33829,2.02199,0.9986,1.16149,5.5e-05,5.5e-05,5.5e-05
7,1478.26,1.66077,0.88021,1.05619,0.78006,0.7491,0.79805,0.332,2.04761,0.97733,1.18136,4.6e-05,4.6e-05,4.6e-05
8,1683.76,1.61533,0.82662,1.047,0.74047,0.76862,0.76499,0.33979,1.94537,0.92813,1.15193,3.7e-05,3.7e-05,3.7e-05
9,1893.5,1.56753,0.8092,1.02194,0.77299,0.77057,0.78928,0.33622,2.01032,0.93575,1.1835,2.8e-05,2.8e-05,2.8e-05
10,2100.46,1.49172,0.76136,1.01526,0.77187,0.75836,0.7923,0.34173,1.99211,0.90716,1.19005,1.9e-05,1.9e-05,1.9e-05
11,2309.23,1.46862,0.74575,1.00657,0.77524,0.78053,0.80765,0.35407,1.98222,0.89477,1.18949,1e-05,1e-05,1e-05
