epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,695.533,1.19946,0.70864,0.91951,0.82049,0.72893,0.81126,0.33353,2.16702,1.03667,1.30135,0.0670742,3.29588e-05,3.29588e-05
2,55098.1,1.04066,0.59037,0.90482,0.77108,0.71336,0.79792,0.34019,2.10661,0.92577,1.26759,0.0337682,6.03258e-05,6.03258e-05
3,55812.5,1.00534,0.54219,0.89283,0.80993,0.7069,0.79724,0.33606,2.15821,0.97276,1.30255,0.000456225,8.16929e-05,8.16929e-05
4,56525.5,0.98134,0.52627,0.89207,0.76955,0.79167,0.82246,0.33446,2.18176,0.90441,1.34614,7.3e-05,7.3e-05,7.3e-05
5,57245.6,0.94666,0.49818,0.88205,0.79039,0.78828,0.84686,0.35633,2.09059,0.88736,1.30073,6.4e-05,6.4e-05,6.4e-05
6,57967.2,0.91254,0.46469,0.87656,0.82298,0.76724,0.82893,0.33202,2.20186,0.88458,1.37869,5.5e-05,5.5e-05,5.5e-05
7,58678.8,0.86404,0.44984,0.86455,0.86232,0.68843,0.81895,0.34632,2.1407,0.99849,1.33179,4.6e-05,4.6e-05,4.6e-05
8,59432.2,0.82271,0.42211,0.8582,0.77736,0.75862,0.82639,0.35775,2.10685,0.95192,1.33747,3.7e-05,3.7e-05,3.7e-05
9,60144.2,0.79393,0.39361,0.8508,0.82738,0.74784,0.83867,0.36771,2.07994,0.96557,1.32716,2.8e-05,2.8e-05,2.8e-05
10,60850.5,0.76538,0.38167,0.84638,0.80119,0.76078,0.83507,0.34932,2.14211,0.96449,1.34755,1.9e-05,1.9e-05,1.9e-05
11,61551,0.74093,0.36341,0.84064,0.81945,0.75216,0.83936,0.35341,2.12297,0.95733,1.33631,1e-05,1e-05,1e-05
