epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0269,1.30826,0.67601,0.94308,0.79715,0.60982,0.70583,0.29808,2.15994,1.63412,1.21456,0.093007,7e-06,7e-06
2,67.2299,1.47353,0.75308,0.9816,0.69339,0.40943,0.47247,0.14583,2.69475,2.04529,1.41566,0.085014,1.401e-05,1.401e-05
3,100.869,1.53229,0.84432,0.99655,0.71896,0.66379,0.70888,0.25605,2.24794,1.21661,1.2563,0.07702,1.9964e-05,1.9964e-05
4,134.04,1.50228,0.78722,0.99153,0.7672,0.67241,0.76325,0.27311,2.23065,1.21538,1.23428,0.0690249,2.4862e-05,2.4862e-05
5,167.169,1.50381,0.76123,0.99244,0.85642,0.66849,0.80803,0.3032,2.17723,1.12988,1.21681,0.0610287,2.8704e-05,2.8704e-05
6,200.858,1.39316,0.71032,1.00725,0.8249,0.6498,0.81406,0.31971,2.2073,1.35033,1.22175,0.0530315,3.149e-05,3.149e-05
7,234.156,1.42614,0.80851,1.00488,0.85377,0.65517,0.7953,0.31316,2.20193,1.41629,1.2331,0.0450332,3.322e-05,3.322e-05
8,267.13,1.4697,0.75878,1.02876,0.89026,0.69937,0.8472,0.32223,2.17447,1.07652,1.25081,0.0370339,3.3894e-05,3.3894e-05
9,300.587,1.45651,0.76098,1.02361,0.83667,0.75862,0.82336,0.33597,2.10818,0.92833,1.24288,0.0290335,3.3512e-05,3.3512e-05
10,333.65,1.48294,0.74295,1.04307,0.7973,0.77993,0.83208,0.33788,2.10692,0.9014,1.25697,0.0210321,3.2074e-05,3.2074e-05
11,366.801,1.41659,0.70234,0.95793,0.815,0.79756,0.84471,0.3412,2.08176,0.87273,1.25161,0.0130296,2.958e-05,2.958e-05
12,400.125,1.49635,0.74521,1.02783,0.83713,0.79757,0.85445,0.3459,2.08337,0.86322,1.2379,0.00502603,2.603e-05,2.603e-05
13,433.416,1.48632,0.72023,1.02128,0.83726,0.79835,0.86409,0.34673,2.08626,0.86081,1.23161,2.08e-05,2.08e-05,2.08e-05
14,466.657,1.37436,0.70163,0.98906,0.84165,0.7931,0.8624,0.34492,2.09375,0.86501,1.2274,1.42e-05,1.42e-05,1.42e-05
15,499.536,1.40946,0.69713,0.99091,0.82553,0.81034,0.87855,0.34129,2.0981,0.86958,1.22494,7.6e-06,7.6e-06,7.6e-06
