epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9276,1.33916,0.71321,0.94855,0.71033,0.59483,0.66393,0.22655,2.35938,1.49379,1.24146,0.093007,7e-06,7e-06
2,67.1428,1.38248,0.75126,0.95954,0.73024,0.65517,0.72984,0.27851,2.1756,1.28945,1.18296,0.085014,1.401e-05,1.401e-05
3,103.351,1.48492,0.79716,0.98838,0.77147,0.66936,0.79483,0.30789,2.21411,1.17905,1.23957,0.07702,1.9964e-05,1.9964e-05
4,136.942,1.4854,0.78396,0.9843,0.88395,0.73276,0.83977,0.36702,2.0327,0.92819,1.20836,0.0690249,2.4862e-05,2.4862e-05
5,170.381,1.54678,0.79292,0.99442,0.85646,0.72013,0.84657,0.37076,2.06458,0.97271,1.22261,0.0610287,2.8704e-05,2.8704e-05
6,203.608,1.46336,0.77703,1.02813,0.80879,0.76578,0.83169,0.30664,2.28081,1.06045,1.29735,0.0530315,3.149e-05,3.149e-05
7,236.207,1.5798,0.84187,1.04673,0.8335,0.78448,0.85418,0.32674,2.20951,0.97676,1.31087,0.0450332,3.322e-05,3.322e-05
8,269.379,1.56612,0.82511,1.06118,0.83008,0.80016,0.83227,0.31114,2.18603,0.9494,1.3369,0.0370339,3.3894e-05,3.3894e-05
9,302.023,1.56406,0.79409,1.06734,0.83513,0.786,0.8494,0.32948,2.11325,0.91764,1.29635,0.0290335,3.3512e-05,3.3512e-05
10,334.557,1.53063,0.79077,1.05473,0.88843,0.77586,0.86803,0.34952,2.05731,0.88443,1.24972,0.0210321,3.2074e-05,3.2074e-05
11,367.455,1.48733,0.74722,0.96778,0.90075,0.78243,0.879,0.36376,2.00823,0.85276,1.21186,0.0130296,2.958e-05,2.958e-05
12,399.948,1.50203,0.7593,1.02803,0.89537,0.7931,0.87905,0.36834,1.99908,0.85182,1.20057,0.00502603,2.603e-05,2.603e-05
13,433.537,1.49262,0.76173,1.02303,0.88465,0.79338,0.88859,0.36375,2.00822,0.85397,1.19701,2.08e-05,2.08e-05,2.08e-05
14,466.149,1.43636,0.74295,1.00538,0.89521,0.81013,0.88688,0.36521,2.013,0.85088,1.19354,1.42e-05,1.42e-05,1.42e-05
15,498.752,1.43022,0.72745,1.00109,0.90232,0.81034,0.88455,0.36587,2.01438,0.85294,1.19057,7.6e-06,7.6e-06,7.6e-06
