epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2791,2.00153,1.24891,1.11872,0.56182,0.50862,0.52294,0.17735,2.43944,1.61783,1.24187,0.095005,5e-06,5e-06
2,53.5309,1.9284,1.12362,1.12536,0.52452,0.42241,0.43505,0.11051,2.72004,1.96019,1.30605,0.0890103,1.0274e-05,1.0274e-05
3,80.1336,1.90774,1.1124,1.11739,0.61986,0.56897,0.61077,0.21827,2.29637,1.73616,1.19107,0.0830148,1.4756e-05,1.4756e-05
4,107.18,1.90778,1.04864,1.13917,0.63096,0.56897,0.63264,0.23399,2.18865,1.54612,1.1672,0.0770184,1.8446e-05,1.8446e-05
5,134.148,1.86808,1.04077,1.09694,0.7557,0.66668,0.71192,0.23842,2.23181,1.48074,1.19116,0.0710213,2.1344e-05,2.1344e-05
6,161.405,1.88736,1.01033,1.10355,0.73141,0.66379,0.71532,0.24767,2.15757,1.35756,1.18437,0.0650235,2.345e-05,2.345e-05
7,188.242,1.80216,1.02971,1.11898,0.80388,0.71552,0.82044,0.31398,2.01264,1.16748,1.14928,0.0590248,2.4764e-05,2.4764e-05
8,215.521,1.84818,0.99239,1.10606,0.78609,0.72865,0.8299,0.33671,1.9388,1.01086,1.13496,0.0530253,2.5286e-05,2.5286e-05
9,242.507,1.77625,0.95814,1.15394,0.75982,0.76363,0.82876,0.3413,1.92068,0.97529,1.13532,0.047025,2.5016e-05,2.5016e-05
10,269.319,1.77702,0.95295,1.08085,0.77723,0.78201,0.82674,0.33614,1.93748,0.96599,1.1467,0.041024,2.3954e-05,2.3954e-05
11,296.003,1.75684,0.95685,1.08084,0.80976,0.77062,0.84244,0.35129,1.94119,0.94845,1.15419,0.0350221,2.21e-05,2.21e-05
12,322.775,1.74436,0.92978,1.1019,0.81904,0.77586,0.85406,0.36109,1.93132,0.93659,1.15376,0.0290195,1.9454e-05,1.9454e-05
13,349.559,1.69977,0.90326,1.09674,0.81099,0.81377,0.86858,0.37439,1.91155,0.92422,1.14807,0.023016,1.6016e-05,1.6016e-05
14,376.422,1.71384,0.94,1.10453,0.80919,0.81897,0.87731,0.37825,1.89009,0.91766,1.13767,0.0170118,1.1786e-05,1.1786e-05
15,403.072,1.73823,0.97097,1.09148,0.80815,0.83523,0.8824,0.37815,1.88514,0.91524,1.13394,0.0110068,6.764e-06,6.764e-06
