epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.446,1.49954,0.81239,1.00316,0.80365,0.72414,0.76287,0.29539,2.09262,0.94592,1.23783,0.0674744,3.25581e-05,3.25581e-05
2,691.275,1.34036,0.74374,0.99145,0.84862,0.68534,0.77551,0.31106,2.10777,0.93789,1.26961,0.0341685,5.99612e-05,5.99612e-05
3,1035.05,1.28396,0.68397,0.95919,0.82181,0.70572,0.80438,0.31177,2.15984,1.00669,1.283,0.000856558,8.13643e-05,8.13643e-05
4,1378.93,1.27189,0.63969,0.95746,0.80735,0.69828,0.74306,0.26784,2.245,0.92715,1.29881,7.3e-05,7.3e-05,7.3e-05
5,1722.56,1.20616,0.59653,0.9441,0.81744,0.70043,0.80383,0.29793,2.18811,0.91884,1.28422,6.4e-05,6.4e-05,6.4e-05
6,2067.84,1.16141,0.56721,0.92555,0.82313,0.72215,0.7922,0.31285,2.17764,0.9212,1.29913,5.5e-05,5.5e-05,5.5e-05
7,2417.03,1.14459,0.55341,0.93035,0.84896,0.69046,0.80489,0.32561,2.12596,0.90862,1.25531,4.6e-05,4.6e-05,4.6e-05
8,2765.93,1.10124,0.53001,0.91345,0.81427,0.7306,0.80759,0.33549,2.12456,0.84642,1.28916,3.7e-05,3.7e-05,3.7e-05
9,3123.97,1.03764,0.50662,0.89572,0.75771,0.76833,0.81413,0.33016,2.15618,0.92105,1.30216,2.8e-05,2.8e-05,2.8e-05
10,3480.49,1.01033,0.47697,0.89644,0.74803,0.78664,0.82426,0.33088,2.15707,0.87121,1.30223,1.9e-05,1.9e-05,1.9e-05
11,3840.17,0.95159,0.46099,0.87735,0.71007,0.7694,0.78804,0.3139,2.21841,0.92431,1.33595,1e-05,1e-05,1e-05
