epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6053,1.88986,1.06693,1.11443,0.81161,0.74278,0.81548,0.35936,1.98046,1.08773,1.13821,0.093007,7e-06,7e-06
2,66.8035,1.82839,1.03774,1.08031,0.83593,0.58621,0.77767,0.32607,2.02981,1.53173,1.14938,0.085014,1.401e-05,1.401e-05
3,99.6743,1.84882,0.99306,1.12227,0.83909,0.76422,0.82982,0.37439,1.94847,1.05454,1.16375,0.07702,1.9964e-05,1.9964e-05
4,132.768,1.77989,0.96486,1.04164,0.79613,0.74063,0.82213,0.36889,1.97975,1.07615,1.15918,0.0690249,2.4862e-05,2.4862e-05
5,165.043,1.70548,0.92066,1.04995,0.80221,0.77586,0.83977,0.37527,1.95577,1.00253,1.14989,0.0610287,2.8704e-05,2.8704e-05
6,198.274,1.69049,0.92683,1.07993,0.83487,0.74096,0.86063,0.38604,1.92496,0.99678,1.14149,0.0530315,3.149e-05,3.149e-05
7,231.106,1.68817,0.96109,1.06454,0.8452,0.75312,0.85795,0.35819,1.99618,1.15576,1.15128,0.0450332,3.322e-05,3.322e-05
8,263.69,1.69691,0.93519,1.11077,0.86314,0.76116,0.85287,0.35782,2.00025,1.05497,1.14982,0.0370339,3.3894e-05,3.3894e-05
9,295.947,1.63959,0.88484,1.0775,0.85301,0.75044,0.85559,0.37673,1.94403,0.96663,1.13889,0.0290335,3.3512e-05,3.3512e-05
10,328.2,1.59859,0.83543,1.04679,0.80043,0.79524,0.8681,0.38003,1.94229,0.95441,1.14377,0.0210321,3.2074e-05,3.2074e-05
11,360.607,1.60835,0.84902,1.08765,0.81879,0.7931,0.86905,0.36857,1.98958,0.94052,1.16518,0.0130296,2.958e-05,2.958e-05
12,393.131,1.65226,0.86128,1.10408,0.81502,0.7931,0.86617,0.36818,1.98365,0.9372,1.16605,0.00502603,2.603e-05,2.603e-05
13,425.5,1.65601,0.88596,1.06161,0.82522,0.81407,0.87256,0.36802,1.96811,0.92561,1.16243,2.08e-05,2.08e-05,2.08e-05
14,457.781,1.50043,0.78706,1.01854,0.86584,0.77894,0.87485,0.3671,1.95796,0.91589,1.15912,1.42e-05,1.42e-05,1.42e-05
15,490.421,1.53967,0.81437,1.01658,0.87997,0.7584,0.87489,0.37306,1.94844,0.91026,1.15541,7.6e-06,7.6e-06,7.6e-06
