epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.667,1.71211,0.97092,1.05844,0.7592,0.65231,0.71467,0.25103,2.24824,1.10428,1.23438,0.0676,3.24324e-05,3.24324e-05
2,617.623,1.60402,0.91531,1.06909,0.77327,0.70043,0.75454,0.29123,2.04702,0.97225,1.20652,0.0342941,5.98468e-05,5.98468e-05
3,915.223,1.48309,0.86354,1.02175,0.78036,0.73707,0.79987,0.32074,2.13648,0.96022,1.24373,0.000982162,8.12613e-05,8.12613e-05
4,1212.38,1.46477,0.75881,1.02226,0.76894,0.70474,0.73649,0.27033,2.22979,0.99412,1.27981,7.3e-05,7.3e-05,7.3e-05
5,1507.19,1.38394,0.73088,1.00202,0.75704,0.76724,0.78376,0.31099,2.14346,0.92156,1.25259,6.4e-05,6.4e-05,6.4e-05
6,1801.86,1.34447,0.68431,0.98321,0.79012,0.71767,0.77925,0.29748,2.21117,0.92416,1.28377,5.5e-05,5.5e-05,5.5e-05
7,2096.77,1.27278,0.63723,0.9496,0.83812,0.74353,0.81384,0.32089,2.1713,0.90863,1.25817,4.6e-05,4.6e-05,4.6e-05
8,2392.56,1.24964,0.6106,0.94961,0.82004,0.76293,0.80478,0.33987,2.0314,0.86327,1.20911,3.7e-05,3.7e-05,3.7e-05
9,2687.76,1.21715,0.58825,0.94199,0.81876,0.74969,0.80464,0.32209,2.11283,0.9156,1.24816,2.8e-05,2.8e-05,2.8e-05
10,2981.82,1.17764,0.57153,0.92082,0.81131,0.73922,0.79021,0.29894,2.19472,0.91664,1.28026,1.9e-05,1.9e-05,1.9e-05
11,3277.36,1.10252,0.54128,0.90832,0.83247,0.77371,0.8095,0.31808,2.14065,0.88794,1.26333,1e-05,1e-05,1e-05
