epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,419.595,1.30405,0.71597,0.95243,0.7603,0.62931,0.66344,0.23726,2.33655,0.99363,1.34305,0.0673283,3.27044e-05,3.27044e-05
2,836.043,1.19207,0.6316,0.94202,0.76973,0.67457,0.72919,0.28254,2.24125,1.10746,1.37912,0.0340224,6.00943e-05,6.00943e-05
3,1251.01,1.17478,0.60709,0.93301,0.79533,0.66164,0.74399,0.32628,2.04771,1.06841,1.2716,0.000710415,8.14843e-05,8.14843e-05
4,1677.04,1.10391,0.54142,0.91821,0.83755,0.72845,0.79367,0.33584,2.07495,0.88551,1.27531,7.3e-05,7.3e-05,7.3e-05
5,2099.3,1.07748,0.52062,0.91022,0.80327,0.71121,0.75227,0.28226,2.28242,0.95689,1.39217,6.4e-05,6.4e-05,6.4e-05
6,2520.45,1.02903,0.51109,0.906,0.78644,0.68256,0.77452,0.31334,2.19375,0.99633,1.36851,5.5e-05,5.5e-05,5.5e-05
7,2965.71,0.97841,0.47797,0.89463,0.84664,0.70043,0.79764,0.33539,2.11291,0.95592,1.31196,4.6e-05,4.6e-05,4.6e-05
8,3397.7,0.94331,0.45302,0.87693,0.79142,0.79319,0.8252,0.34348,2.10521,0.8889,1.32573,3.7e-05,3.7e-05,3.7e-05
9,3825.24,0.91653,0.44791,0.87745,0.81873,0.72198,0.80422,0.32188,2.19495,0.9027,1.35493,2.8e-05,2.8e-05,2.8e-05
10,4253.04,0.86566,0.41741,0.86064,0.8239,0.72598,0.81446,0.35269,2.08696,0.88828,1.30873,1.9e-05,1.9e-05,1.9e-05
11,4679.69,0.84331,0.40816,0.865,0.80924,0.72226,0.80352,0.34162,2.15305,0.90606,1.35489,1e-05,1e-05,1e-05
