epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3105,1.61514,0.94347,1.03859,0.82178,0.67241,0.83421,0.35093,2.01628,1.16757,1.17883,0.093007,7e-06,7e-06
2,66.0295,1.5623,0.89425,1.00485,0.51378,0.28448,0.40151,0.10468,2.66731,2.75493,1.31991,0.085014,1.401e-05,1.401e-05
3,98.7588,1.69576,0.98002,1.06458,0.78832,0.35316,0.60385,0.21352,2.38634,2.35176,1.20874,0.07702,1.9964e-05,1.9964e-05
4,131.366,1.66166,0.92386,1.00495,0.75395,0.62069,0.72251,0.27397,2.26371,1.6219,1.17734,0.0690249,2.4862e-05,2.4862e-05
5,164.002,1.60998,0.8465,1.01568,0.8129,0.66379,0.77715,0.2689,2.29959,1.15134,1.21034,0.0610287,2.8704e-05,2.8704e-05
6,196.575,1.63591,0.98501,1.04108,0.78144,0.73973,0.81779,0.30859,2.17318,1.00925,1.18195,0.0530315,3.149e-05,3.149e-05
7,228.958,1.6528,0.94665,1.05028,0.84964,0.73069,0.85832,0.32764,2.12906,0.99513,1.18808,0.0450332,3.322e-05,3.322e-05
8,261.359,1.65488,0.90501,1.11361,0.80007,0.85345,0.89137,0.36452,2.01631,0.91365,1.17703,0.0370339,3.3894e-05,3.3894e-05
9,293.838,1.69051,0.85591,1.09634,0.82567,0.85345,0.90278,0.37336,1.9908,0.90554,1.17523,0.0290335,3.3512e-05,3.3512e-05
10,326.636,1.59462,0.87523,1.04137,0.81016,0.82759,0.88878,0.37288,1.97918,0.90519,1.16932,0.0210321,3.2074e-05,3.2074e-05
11,359.067,1.62238,0.87919,1.08004,0.84671,0.80949,0.89698,0.38507,1.95645,0.88025,1.15919,0.0130296,2.958e-05,2.958e-05
12,391.449,1.63541,0.85559,1.08041,0.80517,0.81942,0.87976,0.38238,1.95254,0.86357,1.15949,0.00502603,2.603e-05,2.603e-05
13,423.201,1.63168,0.83884,1.04946,0.81951,0.822,0.88569,0.38207,1.95321,0.86742,1.16367,2.08e-05,2.08e-05,2.08e-05
14,455.079,1.48984,0.77665,1.00217,0.82619,0.81953,0.88813,0.37965,1.955,0.8759,1.16448,1.42e-05,1.42e-05,1.42e-05
15,486.967,1.51668,0.81078,1.013,0.82005,0.81034,0.88099,0.37938,1.95867,0.88274,1.16322,7.6e-06,7.6e-06,7.6e-06
