epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8359,1.50387,0.84133,0.97906,0.74861,0.56034,0.67419,0.19353,2.66597,1.50987,1.3355,0.093007,7e-06,7e-06
2,67.1906,1.48847,0.82408,0.99635,0.73542,0.69828,0.7867,0.31133,2.14874,1.05988,1.19873,0.085014,1.401e-05,1.401e-05
3,100.635,1.54977,0.85514,1.00199,0.7389,0.69828,0.79188,0.31257,2.13213,1.07496,1.19416,0.07702,1.9964e-05,1.9964e-05
4,133.965,1.53594,0.82368,0.98821,0.84097,0.69828,0.79831,0.322,2.11098,1.07169,1.17881,0.0690249,2.4862e-05,2.4862e-05
5,167.259,1.6382,0.84797,1.02362,0.80221,0.69828,0.79342,0.29537,2.2448,1.11871,1.22554,0.0610287,2.8704e-05,2.8704e-05
6,199.983,1.50255,0.79325,1.04548,0.80383,0.76724,0.83345,0.33663,2.12146,0.98573,1.19522,0.0530315,3.149e-05,3.149e-05
7,233.233,1.51844,0.83452,1.03402,0.82171,0.81034,0.87429,0.36106,2.06155,0.90577,1.19963,0.0450332,3.322e-05,3.322e-05
8,266.478,1.58596,0.85594,1.04865,0.82754,0.78448,0.85378,0.3257,2.15323,0.97234,1.24688,0.0370339,3.3894e-05,3.3894e-05
9,299.295,1.54595,0.82855,1.05073,0.84675,0.80974,0.85766,0.32587,2.09882,0.95701,1.23449,0.0290335,3.3512e-05,3.3512e-05
10,331.913,1.49936,0.78966,1.03985,0.83193,0.76811,0.8573,0.34261,2.02937,0.92687,1.20222,0.0210321,3.2074e-05,3.2074e-05
11,364.693,1.50865,0.77174,0.97189,0.82374,0.81897,0.87298,0.35342,1.98258,0.90598,1.1781,0.0130296,2.958e-05,2.958e-05
12,397.324,1.54355,0.77336,1.03824,0.8192,0.78121,0.87551,0.35345,2.01678,0.91245,1.18418,0.00502603,2.603e-05,2.603e-05
13,430.376,1.51795,0.76354,1.03131,0.75894,0.81424,0.85384,0.33455,2.07137,0.91916,1.20157,2.08e-05,2.08e-05,2.08e-05
14,463,1.41628,0.7377,1.00424,0.8093,0.76724,0.85,0.32892,2.10803,0.92273,1.22057,1.42e-05,1.42e-05,1.42e-05
15,495.706,1.44328,0.73712,1.00318,0.81548,0.762,0.85426,0.32997,2.11136,0.9202,1.22214,7.6e-06,7.6e-06,7.6e-06
